Date,AAPL,AMZN,BA,GOOG,IBM,MGM,T,^GSPC
2017-09-25,37.497501373291016,47.46549987792969,256.9700012207031,46.272499084472656,138.73805236816406,32.220001220703125,29.101207733154297,2499.389892578125
2017-09-26,37.94499969482422,47.27450180053711,254.60000610351562,46.18600082397461,139.92352294921875,32.09000015258789,29.54682731628418,2501.0400390625
2017-09-27,38.45000076293945,47.400001525878906,255.27000427246094,46.387001037597656,140.2294464111328,32.38999938964844,29.17673683166504,2503.300048828125
2017-09-28,38.47249984741211,47.59299850463867,254.11000061035156,47.06800079345703,139.25430297851562,32.36000061035156,29.214502334594727,2503.409912109375
2017-09-29,38.3025016784668,48.00550079345703,253.85000610351562,47.599998474121094,139.0535430908203,32.34000015258789,29.418428421020508,2509.9599609375
2017-10-02,38.564998626708984,48.20000076293945,254.64999389648438,47.999000549316406,138.9579315185547,31.350000381469727,29.607250213623047,2521.199951171875
2017-10-03,38.502498626708984,47.900001525878906,255.99000549316406,47.70000076293945,140.23899841308594,30.889999389648438,29.59969711303711,2530.340087890625
2017-10-04,38.407501220703125,47.71049880981445,256.1199951171875,47.849998474121094,140.53536987304688,30.950000762939453,29.73564910888672,2533.47998046875
2017-10-05,38.54499816894531,48.5,255.27999877929688,47.77450180053711,140.2294464111328,30.84000015258789,29.91691780090332,2540.860107421875
2017-10-06,38.74250030517578,48.78200149536133,258.0,48.334999084472656,140.1912078857422,30.709999084472656,29.335346221923828,2547.43994140625
2017-10-09,38.95249938964844,49.6619987487793,259.0,49.0,140.05735778808594,30.709999084472656,29.191843032836914,2551.389892578125
2017-10-10,39.01499938964844,49.833499908447266,259.739990234375,49.0,141.21414184570312,31.049999237060547,28.96525764465332,2549.989990234375
2017-10-11,38.99250030517578,49.563499450683594,261.32000732421875,48.68600082397461,141.87380981445312,30.399999618530273,29.093656539916992,2550.6201171875
2017-10-12,39.087501525878906,49.84049987792969,260.95001220703125,49.372501373291016,141.07073974609375,30.790000915527344,28.315710067749023,2552.8798828125
2017-10-13,39.182498931884766,50.349998474121094,262.8999938964844,49.599998474121094,140.9942626953125,30.030000686645508,27.069486618041992,2555.659912109375
2017-10-16,39.474998474121094,50.422000885009766,261.5,49.60499954223633,140.74569702148438,29.65999984741211,27.054380416870117,2555.570068359375
2017-10-17,39.94499969482422,50.27949905395508,256.489990234375,49.51449966430664,140.181640625,29.690000534057617,27.3187313079834,2557.169921875
2017-10-18,40.10499954223633,50.4635009765625,258.4700012207031,49.5885009765625,150.2103271484375,30.200000762939453,27.36404800415039,2562.8701171875
2017-10-19,39.1875,49.5,258.9800109863281,49.29999923706055,152.7724609375,30.110000610351562,27.137462615966797,2553.389892578125
2017-10-20,39.15250015258789,49.67649841308594,260.3599853515625,49.47200012207031,153.9866180419922,30.899999618530273,27.031721115112305,2567.56005859375
2017-10-23,39.22249984741211,49.33649826049805,265.1300048828125,49.47600173950195,154.92352294921875,31.0,26.75226593017578,2578.080078125
2017-10-24,39.0724983215332,48.45000076293945,263.239990234375,48.5,152.62905883789062,31.0,26.6691837310791,2568.659912109375
2017-10-25,39.227500915527344,48.900001525878906,264.7799987792969,48.41849899291992,149.14913940429688,31.200000762939453,25.87613296508789,2566.52001953125
